State,City,pop,crime
ALABAMA,Abbeville,"2,386",11
ALABAMA,Adamsville,"4,111",23
ALABAMA,Addison,669,3
ALABAMA,Alabaster,"34,349",34
ALABAMA,Albertville,"23,242",55
ALABAMA,Alexander City,"14,353",147
ALABAMA,Aliceville,"2,019",4
ALABAMA,Andalusia,"8,838",59
ALABAMA,Anniston,"21,052",178
ALABAMA,Arab,"8,960",23
ALABAMA,Ardmore,"1,451",2
ALABAMA,Argo,"4,388",5
ALABAMA,Arley,330,0
ALABAMA,Ashford,"2,357",2
ALABAMA,Ashland,"1,928",15
ALABAMA,Ashville,"2,417",12
ALABAMA,Athens,"32,862",80
ALABAMA,Atmore,"8,294",113
ALABAMA,Attalla,"5,813",20
ALABAMA,Auburn,"83,756",90
ALABAMA,Bay Minette,"8,456",35
ALABAMA,Bayou La Batre,"2,142",19
ALABAMA,Bear Creek,"1,062",11
ALABAMA,Berry,"1,183",0
ALABAMA,Bessemer,"24,720",431
ALABAMA,Birmingham,"195,418","2,436"
ALABAMA,Blountsville,"1,816",0
ALABAMA,Brent,"2,586",9
ALABAMA,Brewton,"5,139",28
ALABAMA,Bridgeport,"2,262",7
ALABAMA,Brighton,"2,207",47
ALABAMA,Brilliant,829,0
ALABAMA,Brookside,"1,185",5
ALABAMA,Brookwood,"2,420",11
ALABAMA,Brundidge,"2,016",23
ALABAMA,Butler,"1,737",5
ALABAMA,Calera,"18,747",44
ALABAMA,Camden,"1,667",3
ALABAMA,Carbon Hill,"1,723",0
ALABAMA,Carrollton,965,4
ALABAMA,Cedar Bluff,"1,918",8
ALABAMA,Centre,"3,845",15
ALABAMA,Centreville,"2,673",10
ALABAMA,Chatom,"1,060",0
ALABAMA,Cherokee,964,0
ALABAMA,Chickasaw,"6,226",27
ALABAMA,Childersburg,"4,601",35
ALABAMA,Citronelle,"3,902",3
ALABAMA,Clanton,"9,250",29
ALABAMA,Clayton,"2,197",9
ALABAMA,Clio,"1,194",0
ALABAMA,Coaling,"1,970",3
ALABAMA,Coffeeville,247,0
ALABAMA,Collinsville,"2,067",3
ALABAMA,Columbia,703,0
ALABAMA,Columbiana,"4,913",7
ALABAMA,Coosada,"1,282",4
ALABAMA,Cordova,"1,656",8
ALABAMA,Cottonwood,"1,097",3
ALABAMA,Creola,"1,977",5
ALABAMA,Cullman,"20,433",44
ALABAMA,Dadeville,"2,922",17
ALABAMA,Daphne,"31,256",17
ALABAMA,Dauphin Island,"1,932",2
ALABAMA,Decatur,"58,514",355
ALABAMA,Demopolis,"6,733",65
ALABAMA,Dora,"2,244",5
ALABAMA,Dothan,"71,318",651
ALABAMA,Double Springs,"1,115",1
ALABAMA,Douglas,789,2
ALABAMA,East Brewton,"2,239",4
ALABAMA,Eclectic,"1,214",2
ALABAMA,Elba,"3,547",16
ALABAMA,Elberta,"2,145",11
ALABAMA,Enterprise,"30,766",192
ALABAMA,Eufaula,"12,314",89
ALABAMA,Eutaw,"2,710",16
ALABAMA,Excel,524,8
ALABAMA,Fairhope,"25,782",28
